Contig	SRR5004095_bt2-counts.txt	SRR5004096_bt2-counts.txt	SRR5004097_bt2-counts.txt	SRR5004091_bt2-counts.txt	SRR5004078_bt2-counts.txt	SRR5004080_bt2-counts.txt	SRR5004093_bt2-counts.txt	SRR5004090_bt2-counts.txt	SRR5004082_bt2-counts.txt	SRR5004083_bt2-counts.txt	SRR5004085_bt2-counts.txt
contig#26156	8	16	12	28	3	22	23	4	22	0	33
contig#26157	13	1	8	53	13	24	43	2	3	0	0
contig#26158	11	16	18	25	7	15	9	18	14	4	22
contig#26159	2	10	26	17	1	11	34	5	9	0	6
contig#2616	1	0	4	5	8	6	9	0	0	1	2
contig#26160	11	38	19	48	16	25	17	21	29	12	17
contig#26161	22	31	83	93	28	50	102	30	30	12	37
contig#26163	17	18	426	205	9	137	91	36	10	6	42
contig#26164	1	4	18	19	6	18	42	1	1	1	4
contig#26165	37	48	98	124	43	110	257	25	55	7	64
contig#26166	2	7	21	49	1	14	42	3	2	0	13
contig#26167	2	0	15	8	5	15	34	13	8	0	2
contig#26168	19	24	107	127	22	72	139	12	29	8	44
contig#26169	3	0	14	8	0	11	37	1	0	1	0
contig#2617	222	124	985	1416	225	952	1968	88	157	32	107
contig#26170	10	0	36	28	3	37	41	4	0	0	1
contig#26171	21	32	60	57	26	32	59	7	11	4	6
contig#26172	4	2	5	2	0	7	4	2	3	0	0
contig#26174	2	2	7	12	2	67	13	4	6	2	2
contig#26175	35	46	107	131	18	37	71	54	26	8	37
contig#26176	13	6	19	21	9	27	26	5	26	4	13
contig#26177	11	20	17	28	16	13	26	4	5	2	24
contig#26178	8	16	11	23	7	5	17	10	15	4	23
contig#2618	151	248	651	769	180	481	909	157	205	62	252
contig#26180	17	21	29	23	15	8	16	14	16	15	15
contig#26181	20	54	7	64	6	44	32	30	41	6	78
contig#26182	2	2	6	2	4	29	3	2	18	2	6
contig#26183	6	6	33	56	2	34	61	2	7	0	3
contig#26184	16	14	53	69	13	11	28	28	15	2	28
contig#26185	7	0	11	15	4	14	44	0	2	0	11
contig#26186	8	4	22	35	6	57	90	40	42	1	7
contig#26187	23	22	101	166	28	70	192	11	22	5	26
contig#26188	3	8	4	1	4	4	3	14	11	2	19
contig#26189	29	48	34	80	48	56	76	23	43	7	78
contig#2619	294	98	376	523	186	274	889	27	92	30	96
contig#26190	6	3	19	24	5	14	22	3	0	2	0
contig#26191	4	4	29	35	3	34	39	9	2	2	7
contig#26192	4	1	4	7	4	6	8	2	6	2	2
contig#26193	1	0	1	8	0	6	3	0	6	0	5
contig#26195	27	24	29	52	17	16	57	17	14	7	36
contig#26196	86	107	72	75	73	94	63	18	8	49	14
contig#26197	25	1	9	137	4	17	337	2	3	1	2
contig#26198	9	12	41	36	10	23	31	4	15	1	19
contig#26199	3	2	6	5	2	4	6	0	6	1	1
contig#262	311	292	1293	1615	270	933	1894	161	271	31	367
contig#2620	380	303	1844	2560	302	907	2485	152	283	91	319
contig#26200	50	88	10	27	21	24	30	62	123	43	45
contig#26201	12	15	20	27	9	9	13	6	11	3	12
contig#26202	14	35	21	50	17	31	50	19	27	3	26
contig#26203	9	4	14	22	12	25	17	5	9	2	20
contig#26204	13	8	47	49	6	32	62	6	6	1	9
contig#26205	4	5	6	11	9	5	8	3	7	3	11
contig#26206	58	94	147	251	60	145	210	38	32	25	52
contig#26207	1	4	3	9	0	2	12	0	0	0	0
