Contig	SRR5004082_1_trimmed.fq.gz.sam_counts.txt	SRR5004093_1_trimmed.fq.gz.sam_counts.txt	SRR5004080_1_trimmed.fq.gz.sam_counts.txt	SRR5004085_1_trimmed.fq.gz.sam_counts.txt	SRR5004091_1_trimmed.fq.gz.sam_counts.txt	SRR5004078_1_trimmed.fq.gz.sam_counts.txt	SRR5004096_1_trimmed.fq.gz.sam_counts.txt	SRR5004097_1_trimmed.fq.gz.sam_counts.txt	SRR5004095_1_trimmed.fq.gz.sam_counts.txt	SRR5004083_1_trimmed.fq.gz.sam_counts.txt	SRR5004090_1_trimmed.fq.gz.sam_counts.txt	SRR5004094_1_trimmed.fq.gz.sam_counts.txt
contig#15168	18	123	56	20	85	37	26	33	56	20	6	72
contig#15169	55	309	155	90	267	72	82	181	91	33	33	219
contig#1517	337	438	262	422	604	214	464	433	235	112	256	334
contig#15170	137	434	278	129	372	73	105	299	79	46	111	403
contig#15171	9	125	51	25	93	9	14	22	5	2	0	49
contig#15172	21	678	110	20	258	120	170	261	172	42	21	394
contig#15173	45	174	58	181	74	29	32	47	12	4	6	65
contig#15174	14	4	12	8	18	6	10	23	9	3	12	14
contig#15175	10	1	3	3	5	1	4	9	5	1	0	7
contig#15176	38	292	192	105	219	126	49	73	43	15	46	154
contig#15177	4	16	6	3	10	3	3	16	5	1	0	11
contig#15178	5	44	29	6	39	2	3	28	3	1	3	31
contig#15179	75	583	340	131	565	68	116	441	79	36	60	488
contig#1518	35	465	266	38	333	40	21	313	39	20	16	415
contig#15180	3	19	13	5	8	3	4	19	9	0	5	20
contig#15181	109	196	114	178	207	90	145	103	95	31	61	110
contig#15182	3	18	6	7	18	3	7	8	5	1	0	7
contig#15183	17	143	40	25	118	21	46	67	26	8	5	63
contig#15184	96	82	122	71	99	30	33	93	23	23	39	67
contig#15185	1	9	7	0	4	0	0	3	0	1	0	3
contig#15186	58	513	231	55	309	49	76	243	74	11	19	447
contig#15187	2	18	5	3	13	2	4	19	5	0	7	15
contig#15188	13	378	158	28	242	25	24	155	8	2	10	339
contig#15189	9	36	87	19	79	7	17	97	4	1	11	50
contig#1519	167	1976	1086	289	1988	153	209	1525	178	68	107	1819
contig#15190	21	102	17	50	70	12	13	37	17	2	9	56
contig#15192	161	1243	850	230	799	118	198	395	52	31	65	391
contig#15193	11	44	167	39	18	35	34	67	10	1	12	75
contig#15194	33	981	141	67	482	73	11	68	31	6	10	331
contig#15195	102	39	85	97	175	20	77	223	28	19	102	149
contig#15196	59	200	94	61	230	52	47	143	49	25	33	144
contig#15197	131	202	126	157	252	108	231	204	114	44	79	147
contig#15198	55	236	214	87	236	26	73	115	25	8	34	160
contig#15199	35	59	21	32	60	20	32	44	11	5	26	45
contig#152	435	12497	2609	208	11556	1907	1055	7063	3174	834	232	8190
contig#1520	20	217	118	35	178	24	24	155	23	7	17	189
contig#15200	2	44	38	0	32	0	1	36	6	0	2	43
contig#15201	5	87	39	5	67	0	6	59	4	1	6	54
contig#15202	23	301	41	16	139	42	9	8	29	5	13	76
contig#15203	8	97	66	8	113	28	16	80	14	10	4	106
contig#15204	8	52	32	13	56	10	14	43	4	2	4	36
contig#15205	95	278	259	111	411	45	129	406	47	43	137	360
contig#15206	649	1154	709	778	1242	1251	784	808	891	219	476	543
contig#15207	73	182	93	86	207	42	95	228	64	28	60	174
contig#15208	399	145	139	441	199	154	462	87	102	120	115	81
contig#15209	53	69	87	48	145	29	56	179	25	20	66	124
contig#1521	383	5344	1062	388	4125	1120	554	2198	1269	247	199	3382
contig#15211	1	50	12	6	27	5	6	21	9	2	0	31
contig#15212	15	26	7	8	13	2	5	5	3	0	2	7
contig#15213	17	77	40	27	85	14	25	56	17	10	25	42
contig#15214	10	42	28	12	68	18	16	40	17	6	6	27
contig#15215	5	55	53	5	43	9	12	26	6	5	4	76
contig#15216	78	108	66	49	68	22	51	59	37	32	28	86
contig#15217	172	315	154	185	406	134	218	261	115	49	103	183
contig#15218	32	92	77	76	127	41	43	77	32	18	23	56
contig#15219	48	209	176	23	145	14	31	101	24	8	35	139
contig#1522	303	3523	2018	555	3570	291	377	2904	315	141	261	3095
contig#15220	62	83	54	84	110	59	65	79	43	19	48	68
contig#15222	111	88	62	92	157	32	83	84	64	20	53	92
contig#15223	28	174	113	33	254	13	26	192	35	3	40	155
