Contig	./SAMs/SRR5004095_trimmed_counts.txt	./SAMs/SRR5004082_trimmed_counts.txt	./SAMs/SRR5004080_trimmed_counts.txt	./SAMs/SRR5004093_trimmed_counts.txt	./SAMs/SRR5004085_trimmed_counts.txt	./SAMs/SRR5004091_trimmed_counts.txt	./SAMs/SRR5004083_trimmed_counts.txt	./SAMs/SRR5004097_trimmed_counts.txt	./SAMs/SRR5004090_trimmed_counts.txt	./SAMs/SRR5004096_trimmed_counts.txt	./SAMs/SRR5004094_trimmed_counts.txt	./SAMs/SRR5004078_trimmed_counts.txt
contig#10253	222	130	296	725	161	778	28	642	68	206	491	123
contig#10254	83	18	166	313	7	233	10	128	39	14	247	27
contig#10255	42	0	46	47	0	78	0	23	0	4	54	6
contig#10256	6	4	44	64	8	84	0	38	3	15	39	10
contig#10257	79	103	194	320	185	331	28	168	68	197	245	103
contig#10258	9	13	15	9	19	35	4	21	15	18	16	10
contig#10259	5	5	12	22	3	19	0	16	9	6	19	4
contig#1026	635	713	3554	3822	873	4069	191	2740	743	946	3420	913
contig#10260	9	24	10	17	17	19	3	26	13	17	9	6
contig#10261	53	28	404	591	62	582	10	458	64	47	556	96
contig#10262	242	5	267	230	43	265	1	172	44	13	209	104
contig#10263	8	9	8	14	5	30	3	22	8	13	13	8
contig#10264	70	106	66	157	112	187	28	127	51	95	138	79
contig#10265	82	71	103	172	84	140	17	75	49	89	109	48
contig#10266	62	40	449	676	52	680	25	595	40	61	785	40
contig#10267	227	281	441	512	381	690	110	383	233	382	502	267
contig#10268	157	245	219	361	378	409	57	218	150	261	259	118
contig#10269	19	22	17	29	34	27	26	19	21	36	20	21
contig#1027	143	93	299	734	164	821	55	481	90	189	535	163
contig#10270	99	125	207	402	128	458	31	327	67	143	347	96
contig#10271	6	0	179	594	1	563	0	497	2	9	995	7
contig#10272	237	259	324	580	378	756	82	523	166	317	409	199
contig#10273	508	430	735	1743	433	1173	93	762	209	395	1626	394
contig#10274	309	313	630	1421	407	1368	147	1024	213	519	1251	214
contig#10275	27	10	156	236	43	194	6	136	9	10	205	17
contig#10276	16	22	21	64	31	60	1	63	16	20	44	21
contig#10277	235	248	257	330	194	339	99	176	160	254	236	126
contig#10278	3	9	18	13	6	27	3	22	5	7	13	2
contig#10279	81	21	42	324	24	265	8	173	2	21	260	55
contig#1028	581	512	3607	5897	935	7487	159	6095	452	732	5242	566
contig#10280	269	72	300	504	79	337	63	357	70	189	286	275
contig#10281	316	318	942	1740	539	2056	163	1517	226	581	1543	319
contig#10282	32	33	159	362	29	319	20	280	24	14	339	22
contig#10283	4	1	19	19	4	17	0	14	0	6	11	1
contig#10284	4	12	94	94	11	67	1	30	10	8	60	5
contig#10285	328	31	270	1452	30	381	12	403	21	70	958	152
contig#10286	9537	7315	2134	2667	4323	2649	8311	1582	7949	8224	1658	4727
contig#10287	25	31	59	408	55	298	5	243	20	38	240	39
contig#10288	58	47	247	428	75	489	12	359	24	32	383	41
contig#10289	42	39	223	397	77	369	12	361	40	71	402	23
contig#1029	40	66	195	276	86	328	28	143	27	69	172	40
contig#10290	4	17	23	34	14	52	5	39	8	17	19	1
