"logFC"	"logCPM"	"F"	"PValue"
"contig#10197"	-0.0364004697221566	3.60975686190721	0.0134660982733605	0.909349191681747
"contig#10198"	0.035315447186882	3.60998440183106	0.0158912490997028	0.901559347491333
"contig#102"	-0.0492255364995206	0.176859963591159	0.0134513327776409	0.90938893858806
"contig#1020"	1.26712262945487	0.871319621238774	2.38103294488077	0.146232134486086
"contig#10200"	0.208737331369031	1.70675340350471	0.616128222887243	0.446073213781092
"contig#10201"	0.140444071799555	2.92588340119244	0.0622927159888745	0.806715556625125
"contig#10202"	-1.28607757964003	1.29473507594026	9.73687120575147	0.00790225228952844
"contig#10203"	0.335380309800847	3.8475398602182	1.39247077878446	0.258612577382113
"contig#10205"	0.345067031946603	4.19757243158019	0.393702580957075	0.540966034781346
"contig#10206"	0.302720679775296	2.52418163608807	1.62717271148486	0.223649825114025
"contig#10207"	0.353362656559781	0.946578867785422	0.64891433015942	0.434645081449029
"contig#10209"	0.419379297773249	3.28651670075961	2.91507827582283	0.110682460040041
"contig#1021"	-0.0673506405400803	5.97806746833852	0.0341788380719692	0.856111903589702
"contig#10210"	0.228439917315034	4.31753733220156	1.28425406953327	0.276873481990785
"contig#10211"	-0.0905761402215072	3.59529537382495	0.270512646293342	0.611428138478325
"contig#10212"	-0.12727158513893	-0.0581374887214058	0.045573145071846	0.834186193820619
"contig#10213"	-0.128011475692068	3.57582880767686	0.117952578796044	0.736625668464922
"contig#10214"	-0.0487377891331211	1.19230470191615	0.0124290955750873	0.91289340171563
"contig#10215"	0.172602356123682	2.67439291394075	0.0648990531672382	0.80280448011875
"contig#10216"	0.135401715725696	4.02728878462552	0.575266102900063	0.461236569495784
"contig#10217"	0.421364072628343	5.5445365299125	3.74494893030639	0.0742410283555183
"contig#10218"	-0.099837541808531	0.88856753972476	0.138600326640701	0.715466935826366
"contig#10219"	0.111865806501076	4.04121500940028	0.375698252067003	0.550121668863356
"contig#1022"	0.26526065325021	5.12370112947653	0.981264876153053	0.339513270509746
"contig#10221"	0.147801898408278	1.8694421642156	0.0731796332214135	0.790908236857918
"contig#10222"	-0.697171161114247	2.1941396754355	4.95729981576137	0.0436091575208239
"contig#10223"	0.176412530797407	2.39593913159496	0.225310321401589	0.642710435107625
"contig#10224"	0.400995591160608	0.832078446319098	0.896183880111236	0.360628297997795
"contig#10225"	0.388025402176281	2.42389650462551	3.14253283044052	0.0988728152270471
"contig#10226"	0.0929958385635312	2.07987158358431	0.0420965274009611	0.840537841513289
"contig#10227"	0.182736038828495	3.15960309141254	0.750155407495801	0.401587886586916
"contig#10228"	0.175831277325968	2.62854128673354	0.333771871727136	0.573001245872905
"contig#10229"	-0.790148666805779	3.59140978239076	1.96399687277012	0.183952477295733
"contig#1023"	0.0946543589687157	8.62535466545022	0.162967042984239	0.692773607036364
"contig#10230"	-0.0047037360478209	4.17541899271375	0.000161866037186972	0.990037631253784
"contig#10231"	-0.159590039159005	0.700456551850624	0.109601734567157	0.745747906686014
"contig#10232"	-0.302383775921428	2.06269615940376	0.773572253150646	0.394613886748498
"contig#10233"	-0.0421839757218072	1.31210205303227	0.0165104501125978	0.899657133913114
"contig#10235"	-0.416951203467979	1.33460937206862	1.93084975140659	0.187201865942045
"contig#10236"	-0.377997394214269	3.69217048631092	2.88022998457871	0.11264043368727
"contig#10238"	-0.092019281249858	1.44628725545079	0.0105396928508949	0.919759804983598
"contig#1024"	0.121136836728635	3.56094089463606	0.118494013959757	0.736046926001331
