	logFC	AveExpr	t	P.Value	adj.P.Val	B
contig#31975	3.304410981	2.2635911	3.73554623	0.002257561	0.325339079	-1.257292767
contig#47947	2.309630572	-0.043066085	3.80358345	0.001975124	0.318507357	-1.257438498
contig#45871	2.824885993	-0.562333377	3.879592324	0.001701748	0.31721796	-1.258327934
contig#62	1.589964916	5.935619918	3.78563767	0.002045941	0.318912954	-1.260292595
contig#43791	1.550612416	-0.658562574	3.831984162	0.001868102	0.318507357	-1.273261803
contig#29145	3.076418093	1.048255	3.741350129	0.002231945	0.325339079	-1.276919561
contig#11831	1.143710228	3.521090144	3.740591977	0.002235274	0.325339079	-1.278345458
contig#40451	3.274647176	0.687315109	3.750363077	0.002192748	0.324706841	-1.284465814
contig#472	2.51283576	5.346968293	3.760132647	0.002151049	0.324595889	-1.287297446
contig#22602	1.178656034	4.745566414	3.754170605	0.0021764	0.324595889	-1.289793361
contig#48711	2.837730015	-0.053694594	3.79665863	0.002002151	0.318507357	-1.292093221
contig#43217	1.770805819	0.073951778	3.752357282	0.00218417	0.324595889	-1.303017006
contig#7760	-1.81782457	2.319509401	-3.710259192	0.002372693	0.325339079	-1.303708357
contig#15466	1.79542331	2.730503202	3.713322245	0.002358436	0.325339079	-1.304875337
contig#31708	3.139157395	-0.631656689	3.838873888	0.00184304	0.318507357	-1.309508021
contig#23973	2.997930106	1.497251859	3.707280067	0.002386643	0.325339079	-1.317789754
contig#28021	3.215330593	-0.647105172	3.854077642	0.001788937	0.318507357	-1.322014111
contig#5014	1.318611457	4.550133975	3.732843995	0.002269589	0.325339079	-1.322744638
contig#6466	2.417299291	5.250310349	3.738899974	0.002242722	0.325339079	-1.324971076
contig#51461	2.202914566	1.340834835	3.697990885	0.002430678	0.326228961	-1.327003836
contig#42356	1.819545614	1.425773153	3.696425196	0.00243818	0.326228961	-1.328477066
contig#55365	1.616463461	-0.818396353	3.811009199	0.001946554	0.318507357	-1.339691688
contig#1996	3.352946499	2.439519992	3.687456756	0.002481611	0.328534689	-1.340663187
contig#5236	2.779840998	3.270883259	3.69624078	0.002439066	0.326228961	-1.340823748
contig#44936	1.43181723	0.4482554	3.706202407	0.00239171	0.325339079	-1.342581148
contig#7561	2.535261478	-1.604147368	3.999746536	0.00134579	0.311152086	-1.343149127
contig#36148	1.673651144	0.401679844	3.70966709	0.002375459	0.325339079	-1.34418573
contig#21993	-0.956422722	3.433090356	-3.70256918	0.002408873	0.325339079	-1.345517058
contig#36829	2.270603432	0.537988642	3.703156463	0.00240609	0.325339079	-1.34724052
contig#46211	4.433598623	1.070118161	3.713336589	0.002358369	0.325339079	-1.347432288
contig#25532	-1.187473436	1.778892384	-3.6812278	0.002512235	0.328534689	-1.351024784
contig#1007	1.26307371	5.504721722	3.731759916	0.002274432	0.325339079	-1.351413787
contig#59003	2.96768925	-2.034632946	4.103490771	0.001099952	0.304099721	-1.352133684
contig#42186	2.082204198	-1.035167863	3.845150962	0.001820504	0.318507357	-1.356325334
contig#36327	3.87805439	-0.740265692	3.885526262	0.001682098	0.31721796	-1.356407624
contig#39751	1.456176272	0.630340684	3.685263838	0.002492349	0.328534689	-1.369683994
contig#10643	3.969930498	6.226970011	3.717571903	0.002338799	0.325339079	-1.376395378
contig#21866	1.736225133	-0.222039975	3.724923661	0.002305219	0.325339079	-1.383745241
contig#21736	-1.673558052	1.098893116	-3.665357536	0.002592002	0.331704262	-1.384718196
contig#14182	1.868334534	1.84318075	3.660676044	0.002616018	0.332772568	-1.386320998
contig#31593	1.502425978	0.441790221	3.676538927	0.00253554	0.328534689	-1.395339267
contig#9367	0.922001536	4.526480752	3.691009364	0.002464314	0.328534689	-1.400482156
contig#8676	1.817559119	2.120842748	3.65344114	0.002653577	0.334585841	-1.400631141
contig#41057	1.541701019	0.589060798	3.667324879	0.002581976	0.331456113	-1.40414089
contig#14912	4.628712826	0.489957397	3.712908023	0.002360359	0.325339079	-1.408774363
